rank,domain,competitor_consensus,links_to_sigma,links_to_hex,links_to_mode,links_to_metabase,harmonic_pos,pagerank_pos,opportunity_score,category,opportunity_type,rationale,suggested_action
16,dbta.com,3,True,True,True,False,30262,36857,0.48658121231187434,tech_media_or_blog,content_mention,DBTA is established data-tech media covering BI platforms editorially; strong authority and relevant audience for guest content or product mentions.,Pitch a briefing or story angle; aim for a linked product mention.
17,open-metadata.org,3,True,True,True,False,76032,155532,0.4774369015503574,community_or_directory,directory_listing,Open Metadata is a data-governance community project; likely maintains curated integrations or tools directory where Omni can be listed.,Submit a complete Omni listing to the directory.
18,risingwave.com,3,True,False,True,True,78152,105864,0.47718688802994286,data_platform_vendor,integrations_page,RisingWave is a streaming data platform; links to BI tools suggest integrations/destinations directory—strong partnership opportunity.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
19,cube.dev,3,True,True,False,True,93783,47269,0.47555970673721115,developer_tool_vendor,integrations_page,Cube.dev is a data-orchestration/semantic-layer platform with integrations directory; strong partner fit for BI tool listings.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
20,datafold.com,3,False,True,True,True,109569,179447,0.47421171662288547,data_platform_vendor,integrations_page,"Datafold is a data observability platform (complementary partner, not competitor); likely maintains integrations or partner directory listing BI tools.",Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
21,getdot.ai,3,True,False,True,True,140539,324957,0.47212834681226623,developer_tool_vendor,integrations_page,Developer tool vendor linking to BI platforms; likely integrations or partner directory page—strong outreach target.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
22,siffletdata.com,3,False,True,True,True,169683,359261,0.4706084381176441,data_platform_vendor,integrations_page,Sifflet is a data observability platform; likely maintains integrations or partner directory listing BI tools including competitors—strong partnership opportunity for Omni.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
23,pocus.com,3,False,True,True,True,212960,160771,0.4688382355493204,data_platform_vendor,integrations_page,Pocus is a data-driven sales platform; likely maintains integrations or partner directory listing BI tools including Omni.,Pitch Omni for their integrations/destinations directory; offer a co-marketing blurb or joint documentation.
24,i10x.ai,3,True,False,True,True,266904,719381,0.46714260643209926,tech_media_or_blog,content_mention,Tech-focused domain linking to multiple BI platforms; likely editorial coverage of analytics tools with guest-content or mention opportunity.,Pitch a briefing or story angle; aim for a linked product mention.
25,builtin.com,3,True,True,False,True,462248,3681,0.46326305384571764,tech_media_or_blog,content_mention,Built In is a reputable tech careers and company news site; strong domain authority and editorial coverage of BI tools presents guest content or product mention opportunity.,Pitch a briefing or story angle; aim for a linked product mention.
